Date,Opening,Closing,Variation,Minimum,Maximum
28/05/2025,138.136,138.888,-0,47,138.580,139.547
27/05/2025,137.824,139.541,1,02,138.136,140.382
26/05/2025,137.824,138.136,0,23,137.795,138.800
23/05/2025,137.881,137.824,0,4,134.997,137.824
22/05/2025,137.881,137.273,-0,44,137.088,138.837
21/05/2025,139.636,137.881,-1,59,137.538,140.109
20/05/2025,139.186,140.110,0,34,138.966,140.244
19/05/2025,139.186,139.636,0,32,138.587,140.203
16/05/2025,138.425,139.187,-0,11,137.713,139.335
15/05/2025,138.425,139.334,0,66,138.321,139.408
14/05/2025,136.565,138.423,-0,39,138.228,139.362
13/05/2025,136.516,138.963,1,76,136.550,139.419
09/05/2025,133.458,136.512,0,21,136.105,137.286
08/05/2025,133.517,136.232,2,12,133.458,137.635
07/05/2025,133.499,133.398,-0,09,132.872,134.110
06/05/2025,135.131,133.516,0,02,133.260,134.135
05/05/2025,135.131,133.491,-1,22,133.390,135.198
02/05/2025,135.094,135.134,0,05,134.355,135.275
30/04/2025,135.094,135.067,-0,02,133.955,135.171
29/04/2025,134.741,135.093,0,06,134.899,136.150
25/04/2025,134.579,134.739,0,12,134.186,134.992
24/04/2025,130.468,134.580,1,79,132.223,134.938
23/04/2025,130.468,132.216,1,34,130.468,133.318
17/04/2025,128.316,129.650,1,04,127.973,130.091
16/04/2025,129.452,128.317,-0,72,128.149,129.605
15/04/2025,129.452,129.245,-0,16,128.951,129.927
14/04/2025,127.683,129.454,1,39,127.683,129.955
11/04/2025,126.355,127.682,1,05,126.078,128.386
10/04/2025,123.928,126.355,-1,13,124.895,127.797
09/04/2025,123.928,127.796,2,26,127.796,127.796
08/04/2025,127.229,124.976,-0,49,124.426,127.652
07/04/2025,127.229,125.588,-1,31,123.876,128.411
04/04/2025,131.139,127.256,-2,96,126.466,131.139
03/04/2025,131.185,131.141,-0,04,130.182,132.552
02/04/2025,130.267,131.190,0,03,130.393,131.424
01/04/2025,131.900,131.147,0,68,130.081,131.982
31/03/2025,131.900,130.260,-1,25,130.115,131.901
28/03/2025,132.522,131.902,-0,94,131.315,133.143
27/03/2025,132.522,133.149,0,47,132.479,133.904
26/03/2025,131.327,132.520,0,34,132.068,132.984
25/03/2025,132.344,132.068,0,57,131.325,133.471
24/03/2025,132.344,131.321,-0,77,130.992,132.424
21/03/2025,132.505,132.345,0,26,131.776,132.588
20/03/2025,131.476,132.008,-0,38,131.813,132.713
19/03/2025,130.832,132.508,0,79,131.451,132.984
18/03/2025,128.959,131.475,0,49,130.722,131.834
17/03/2025,128.959,130.834,1,46,128.957,131.313
14/03/2025,123.863,128.957,2,64,125.647,129.194
13/03/2025,123.507,125.637,1,43,123.590,125.774
12/03/2025,124.519,123.866,0,29,122.969,124.048
11/03/2025,125.031,123.507,-0,81,122.636,124.625
10/03/2025,125.031,124.519,-0,41,123.471,125.031
07/03/2025,123.357,125.035,1,36,122.530,125.822
06/03/2025,122.799,123.358,0,25,122.681,124.112
05/03/2025,122.799,123.047,0,2,122.747,123.364
28/02/2025,124.768,122.799,-1,6,122.659,124.916
27/02/2025,125.980,124.799,0,02,124.352,125.497
26/02/2025,125.401,124.769,-0,96,124.732,126.563
25/02/2025,127.129,125.980,0,46,125.382,126.718
24/02/2025,127.129,125.401,-1,36,125.162,127.275
21/02/2025,127.601,127.128,-0,37,126.483,127.654
20/02/2025,128.528,127.601,0,23,127.063,127.871
19/02/2025,128.553,127.309,-0,95,127.028,128.528
18/02/2025,128.229,128.532,-0,02,128.012,129.294
17/02/2025,128.229,128.552,0,26,128.229,129.534
14/02/2025,124.372,128.219,2,7,124.849,128.482
13/02/2025,126.513,124.850,0,38,123.778,124.853
12/02/2025,126.513,124.380,-1,69,124.116,126.513
11/02/2025,124.619,126.522,0,76,125.570,126.886
10/02/2025,124.619,125.572,0,76,124.619,126.386
07/02/2025,126.219,124.619,-1,27,124.320,126.524
